"year","title","artist","nrgy"
"2010","Hello","Martin Solveig","98"
"2011","Written in the Stars (feat. Eric Turner)","Tinie Tempah","95"
"2012","Don't Stop the Party (feat. TJR)","Pitbull","96"
"2013","Pom Poms","Jonas Brothers","98"
"2014","She Looks So Perfect","5 Seconds of Summer","95"
"2015","Booty","Jennifer Lopez","95"
"2016","Blown","DNCE","95"
"2017","Get Low (with Liam Payne)","Zedd","93"
"2018","MOVE TO MIAMI","Enrique Iglesias","87"
"2019","Giant (with Rag'n'Bone Man)","Calvin Harris","89"
"2019","Good as Hell (feat. Ariana Grande) - Remix","Lizzo","89"
